time, prob_0
2.790000,0.030587
2.800000,0.028889
2.810000,0.027237
2.820000,0.025633
2.830000,0.024077
2.840000,0.022568
2.850000,0.021106
2.860000,0.019693
2.870000,0.018328
2.880000,0.017010
2.890000,0.015741
2.900000,0.014521
2.910000,0.013349
2.920000,0.012226
2.930000,0.011151
2.940000,0.010126
2.950000,0.009149
2.960000,0.008221
2.970000,0.007343
2.980000,0.006514
2.990000,0.005734
3.000000,0.005004
3.010000,0.004323
3.020000,0.003692
3.030000,0.003110
3.040000,0.002578
3.050000,0.002096
3.060000,0.001663
3.070000,0.001281
3.080000,0.000948
3.090000,0.000665
3.100000,0.000432
3.110000,0.000250
3.120000,0.000117
3.130000,0.000034
3.140000,0.000001
3.150000,0.000018
3.160000,0.000085
3.170000,0.000202
3.180000,0.000369
3.190000,0.000586
3.200000,0.000853
3.210000,0.001169
3.220000,0.001536
3.230000,0.001953
3.240000,0.002419
3.250000,0.002935
3.260000,0.003501
3.270000,0.004116
3.280000,0.004782
3.290000,0.005496
3.300000,0.006260
3.310000,0.007074
3.320000,0.007936
3.330000,0.008848
3.340000,0.009809
3.350000,0.010819
3.360000,0.011878
3.370000,0.012986
3.380000,0.014142
3.390000,0.015347
3.400000,0.016601
3.410000,0.017903
3.420000,0.019253
3.430000,0.020651
3.440000,0.022097
3.450000,0.023591
3.460000,0.025132
3.470000,0.026721
3.480000,0.028358
3.490000,0.030041
3.500000,0.031772
3.510000,0.033549
3.520000,0.035373
3.530000,0.037243
3.540000,0.039160
3.550000,0.041123
3.560000,0.043131
3.570000,0.045186
3.580000,0.047286
3.590000,0.049431
3.600000,0.051621
3.610000,0.053856
3.620000,0.056135
3.630000,0.058459
3.640000,0.060827
3.650000,0.063240
3.660000,0.065695
3.670000,0.068194
3.680000,0.070737
3.690000,0.073322
3.700000,0.075950
3.710000,0.078620
3.720000,0.081333
3.730000,0.084087
3.740000,0.086883
3.750000,0.089720
3.760000,0.092599
3.770000,0.095518
3.780000,0.098477
3.790000,0.101477
3.800000,0.104516
3.810000,0.107595
3.820000,0.110713
3.830000,0.113871
3.840000,0.117066
3.850000,0.120300
3.860000,0.123573
3.870000,0.126882
3.880000,0.130229
3.890000,0.133613
3.900000,0.137034
3.910000,0.140491
3.920000,0.143984
3.930000,0.147512
3.940000,0.151076
3.950000,0.154674
3.960000,0.158308
3.970000,0.161975
3.980000,0.165676
3.990000,0.169411
4.000000,0.173178
4.010000,0.176978
4.020000,0.180811
4.030000,0.184676
4.040000,0.188572
4.050000,0.192499
4.060000,0.196457
4.070000,0.200445
4.080000,0.204463
4.090000,0.208511
4.100000,0.212588
4.110000,0.216694
4.120000,0.220828
4.130000,0.224990
4.140000,0.229179
4.150000,0.233396
4.160000,0.237639
4.170000,0.241908
4.180000,0.246203
4.190000,0.250524
4.200000,0.254870
4.210000,0.259240
4.220000,0.263634
4.230000,0.268052
4.240000,0.272493
4.250000,0.276956
4.260000,0.281442
4.270000,0.285950
4.280000,0.290479
4.290000,0.295030
4.300000,0.299600
4.310000,0.304191
4.320000,0.308802
4.330000,0.313431
4.340000,0.318079
4.350000,0.322745
4.360000,0.327430
4.370000,0.332131
4.380000,0.336849
4.390000,0.341583
4.400000,0.346334
4.410000,0.351099
4.420000,0.355880
4.430000,0.360675
4.440000,0.365483
4.450000,0.370306
4.460000,0.375141
4.470000,0.379989
4.480000,0.384849
4.490000,0.389720
4.500000,0.394602
4.510000,0.399495
4.520000,0.404398
4.530000,0.409310
4.540000,0.414232
4.550000,0.419162
4.560000,0.424100
4.570000,0.429046
4.580000,0.433999
4.590000,0.438958
4.600000,0.443924
4.610000,0.448895
4.620000,0.453871
4.630000,0.458852
4.640000,0.463837
4.650000,0.468826
4.660000,0.473817
4.670000,0.478812
4.680000,0.483808
4.690000,0.488806
4.700000,0.493806
4.710000,0.498806
4.720000,0.503805
4.730000,0.508805
4.740000,0.513804
4.750000,0.518801
4.760000,0.523797
4.770000,0.528790
4.780000,0.533780
4.790000,0.538767
4.800000,0.543749
4.810000,0.548728
4.820000,0.553702
4.830000,0.558670
4.840000,0.563632
4.850000,0.568589
4.860000,0.573538
4.870000,0.578480
4.880000,0.583414
4.890000,0.588339
4.900000,0.593256
4.910000,0.598164
4.920000,0.603061
4.930000,0.607949
4.940000,0.612825
4.950000,0.617691
4.960000,0.622544
4.970000,0.627386
4.980000,0.632214
4.990000,0.637029
5.000000,0.641831
5.010000,0.646619
5.020000,0.651391
5.030000,0.656149
5.040000,0.660891
5.050000,0.665617
5.060000,0.670326
5.070000,0.675019
5.080000,0.679694
5.090000,0.684350
5.100000,0.688989
5.110000,0.693608
5.120000,0.698209
5.130000,0.702789
5.140000,0.707349
5.150000,0.711888
5.160000,0.716407
5.170000,0.720903
5.180000,0.725378
5.190000,0.729829
5.200000,0.734258
5.210000,0.738664
5.220000,0.743045
5.230000,0.747403
5.240000,0.751735
5.250000,0.756043
5.260000,0.760325
5.270000,0.764580
5.280000,0.768810
5.290000,0.773012
5.300000,0.777187
5.310000,0.781335
5.320000,0.785454
