time, prob_0
2.790000,0.999901
2.800000,0.999975
2.810000,1.000000
2.820000,0.999975
2.830000,0.999899
2.840000,0.999774
2.850000,0.999599
2.860000,0.999374
2.870000,0.999099
2.880000,0.998775
2.890000,0.998401
2.900000,0.997979
2.910000,0.997507
2.920000,0.996986
2.930000,0.996417
2.940000,0.995800
2.950000,0.995135
2.960000,0.994422
2.970000,0.993662
2.980000,0.992855
2.990000,0.992002
3.000000,0.991103
3.010000,0.990158
3.020000,0.989169
3.030000,0.988134
3.040000,0.987056
3.050000,0.985934
3.060000,0.984769
3.070000,0.983562
3.080000,0.982312
3.090000,0.981022
3.100000,0.979691
3.110000,0.978321
3.120000,0.976911
3.130000,0.975463
3.140000,0.973977
3.150000,0.972454
3.160000,0.970895
3.170000,0.969300
3.180000,0.967671
3.190000,0.966008
3.200000,0.964312
3.210000,0.962584
3.220000,0.960824
3.230000,0.959034
3.240000,0.957215
3.250000,0.955367
3.260000,0.953491
3.270000,0.951588
3.280000,0.949660
3.290000,0.947707
3.300000,0.945730
3.310000,0.943730
3.320000,0.941709
3.330000,0.939666
3.340000,0.937604
3.350000,0.935522
3.360000,0.933423
3.370000,0.931308
3.380000,0.929177
3.390000,0.927031
3.400000,0.924871
3.410000,0.922699
3.420000,0.920516
3.430000,0.918323
3.440000,0.916120
3.450000,0.913909
3.460000,0.911692
3.470000,0.909468
3.480000,0.907240
3.490000,0.905008
3.500000,0.902774
3.510000,0.900538
3.520000,0.898302
3.530000,0.896067
3.540000,0.893834
3.550000,0.891604
3.560000,0.889378
3.570000,0.887157
3.580000,0.884943
3.590000,0.882737
3.600000,0.880539
3.610000,0.878350
3.620000,0.876173
3.630000,0.874007
3.640000,0.871855
3.650000,0.869716
3.660000,0.867593
3.670000,0.865486
3.680000,0.863396
3.690000,0.861325
3.700000,0.859272
3.710000,0.857241
3.720000,0.855230
3.730000,0.853242
3.740000,0.851277
3.750000,0.849337
3.760000,0.847422
3.770000,0.845533
3.780000,0.843672
3.790000,0.841838
3.800000,0.840034
3.810000,0.838260
3.820000,0.836516
3.830000,0.834805
3.840000,0.833126
3.850000,0.831480
3.860000,0.829868
3.870000,0.828292
3.880000,0.826752
3.890000,0.825248
3.900000,0.823781
3.910000,0.822353
3.920000,0.820963
3.930000,0.819613
3.940000,0.818304
3.950000,0.817035
3.960000,0.815807
3.970000,0.814622
3.980000,0.813479
3.990000,0.812380
4.000000,0.811324
4.010000,0.810313
4.020000,0.809346
4.030000,0.808425
4.040000,0.807550
4.050000,0.806720
4.060000,0.805938
4.070000,0.805202
4.080000,0.804514
4.090000,0.803874
4.100000,0.803282
4.110000,0.802738
4.120000,0.802243
4.130000,0.801796
4.140000,0.801399
4.150000,0.801051
4.160000,0.800752
4.170000,0.800503
4.180000,0.800304
4.190000,0.800155
4.200000,0.800055
4.210000,0.800006
4.220000,0.800007
4.230000,0.800057
4.240000,0.800158
4.250000,0.800308
4.260000,0.800508
4.270000,0.800758
4.280000,0.801058
4.290000,0.801407
4.300000,0.801806
4.310000,0.802253
4.320000,0.802749
4.330000,0.803294
4.340000,0.803888
4.350000,0.804529
4.360000,0.805218
4.370000,0.805955
4.380000,0.806738
4.390000,0.807569
4.400000,0.808445
4.410000,0.809367
4.420000,0.810335
4.430000,0.811347
4.440000,0.812404
4.450000,0.813504
4.460000,0.814648
4.470000,0.815834
4.480000,0.817062
4.490000,0.818332
4.500000,0.819643
4.510000,0.820994
4.520000,0.822384
4.530000,0.823814
4.540000,0.825281
4.550000,0.826786
4.560000,0.828327
4.570000,0.829904
4.580000,0.831516
4.590000,0.833162
4.600000,0.834842
4.610000,0.836555
4.620000,0.838299
4.630000,0.840074
4.640000,0.841879
4.650000,0.843713
4.660000,0.845575
4.670000,0.847464
4.680000,0.849380
4.690000,0.851321
4.700000,0.853286
4.710000,0.855274
4.720000,0.857285
4.730000,0.859318
4.740000,0.861370
4.750000,0.863442
4.760000,0.865533
4.770000,0.867640
4.780000,0.869764
4.790000,0.871903
4.800000,0.874055
4.810000,0.876221
4.820000,0.878399
4.830000,0.880587
4.840000,0.882786
