x,y,z
-0.673984, 0.325831, 0.663008
-0.667399, 0.332599, 0.666300
-0.660681, 0.339200, 0.669659
-0.653833, 0.345632, 0.673084
-0.646857, 0.351891, 0.676572
-0.639758, 0.357974, 0.680121
-0.632539, 0.363878, 0.683730
-0.625204, 0.369600, 0.687398
-0.617756, 0.375137, 0.691122
-0.610200, 0.380487, 0.694900
-0.602538, 0.385646, 0.698731
-0.594775, 0.390613, 0.702612
-0.586915, 0.395384, 0.706542
-0.578961, 0.399958, 0.710519
-0.570918, 0.404331, 0.714541
-0.562789, 0.408503, 0.718605
-0.554579, 0.412470, 0.722710
-0.546292, 0.416231, 0.726854
-0.537932, 0.419784, 0.731034
-0.529502, 0.423127, 0.735249
-0.521008, 0.426259, 0.739496
-0.512453, 0.429177, 0.743773
-0.503842, 0.431881, 0.748079
-0.495179, 0.434369, 0.752410
-0.486469, 0.436639, 0.756766
-0.477715, 0.438692, 0.761142
-0.468923, 0.440525, 0.765539
-0.460096, 0.442138, 0.769952
-0.451239, 0.443529, 0.774381
-0.442356, 0.444699, 0.778822
-0.433452, 0.445647, 0.783274
-0.424532, 0.446372, 0.787734
-0.415599, 0.446873, 0.792201
-0.406658, 0.447152, 0.796671
-0.397714, 0.447206, 0.801143
-0.388771, 0.447037, 0.805614
-0.379834, 0.446645, 0.810083
-0.370907, 0.446029, 0.814546
-0.361995, 0.445190, 0.819003
-0.353101, 0.444129, 0.823450
-0.344231, 0.442846, 0.827885
-0.335389, 0.441341, 0.832306
-0.326579, 0.439615, 0.836711
-0.317805, 0.437670, 0.841097
-0.309073, 0.435506, 0.845463
-0.300387, 0.433124, 0.849807
-0.291750, 0.430526, 0.854125
-0.283167, 0.427712, 0.858416
-0.274643, 0.424685, 0.862679
-0.266181, 0.421445, 0.866909
-0.257786, 0.417994, 0.871107
-0.249463, 0.414335, 0.875269
-0.241214, 0.410468, 0.879393
-0.233045, 0.406396, 0.883477
-0.224960, 0.402121, 0.887520
-0.216962, 0.397645, 0.891519
-0.209055, 0.392970, 0.895472
-0.201244, 0.388098, 0.899378
-0.193533, 0.383033, 0.903234
-0.185924, 0.377776, 0.907038
-0.178423, 0.372330, 0.910788
-0.171032, 0.366698, 0.914484
-0.163756, 0.360882, 0.918122
-0.156598, 0.354887, 0.921701
-0.149562, 0.348713, 0.925219
-0.142651, 0.342366, 0.928675
-0.135869, 0.335847, 0.932066
-0.129218, 0.329160, 0.935391
-0.122703, 0.322309, 0.938648
-0.116327, 0.315297, 0.941837
-0.110092, 0.308127, 0.944954
-0.104003, 0.300802, 0.947999
-0.098061, 0.293328, 0.950969
-0.092271, 0.285707, 0.953865
-0.086634, 0.277943, 0.956683
-0.081154, 0.270040, 0.959423
-0.075833, 0.262002, 0.962083
-0.070675, 0.253833, 0.964663
-0.065681, 0.245537, 0.967160
-0.060854, 0.237118, 0.969573
-0.056197, 0.228581, 0.971902
-0.051712, 0.219930, 0.974144
-0.047400, 0.211168, 0.976300
-0.043266, 0.202301, 0.978367
-0.039309, 0.193333, 0.980345
-0.035533, 0.184268, 0.982234
-0.031939, 0.175111, 0.984031
-0.028529, 0.165866, 0.985735
-0.025305, 0.156539, 0.987348
-0.022268, 0.147133, 0.988866
-0.019420, 0.137654, 0.990290
-0.016762, 0.128106, 0.991619
-0.014296, 0.118494, 0.992852
-0.012023, 0.108822, 0.993989
-0.009944, 0.099096, 0.995028
-0.008059, 0.089321, 0.995970
-0.006371, 0.079501, 0.996814
-0.004880, 0.069641, 0.997560
-0.003586, 0.059747, 0.998207
-0.002490, 0.049822, 0.998755
-0.001593, 0.039873, 0.999203
-0.000895, 0.029904, 0.999552
-0.000397, 0.019919, 0.999802
-0.000099, 0.009925, 0.999951
-0.000000, -0.000074, 1.000000
-0.000101, -0.010073, 0.999949
-0.000403, -0.020067, 0.999799
-0.000904, -0.030051, 0.999548
-0.001605, -0.040020, 0.999198
-0.002505, -0.049970, 0.998748
-0.003603, -0.059894, 0.998198
-0.004900, -0.069788, 0.997550
-0.006395, -0.079647, 0.996803
-0.008086, -0.089466, 0.995957
-0.009973, -0.099241, 0.995013
-0.012055, -0.108966, 0.993972
-0.014331, -0.118637, 0.992834
-0.016800, -0.128248, 0.991600
-0.019461, -0.137795, 0.990270
