x,y,z
-0.370775, 0.446018, 0.814613
-0.361863, 0.445176, 0.819069
-0.352969, 0.444112, 0.823515
-0.344100, 0.442825, 0.827950
-0.335258, 0.441317, 0.832371
-0.326448, 0.439588, 0.836776
-0.317676, 0.437640, 0.841162
-0.308944, 0.435472, 0.845528
-0.300258, 0.433087, 0.849871
-0.291622, 0.430486, 0.854189
-0.283040, 0.427669, 0.858480
-0.274517, 0.424638, 0.862742
-0.266056, 0.421395, 0.866972
-0.257663, 0.417941, 0.871169
-0.249340, 0.414279, 0.875330
-0.241093, 0.410409, 0.879454
-0.232925, 0.406334, 0.883538
-0.224841, 0.402056, 0.887580
-0.216844, 0.397577, 0.891578
-0.208939, 0.392899, 0.895531
-0.201129, 0.388025, 0.899435
-0.193419, 0.382956, 0.903290
-0.185812, 0.377696, 0.907094
-0.178313, 0.372248, 0.910844
-0.170924, 0.366613, 0.914538
-0.163649, 0.360795, 0.918175
-0.156493, 0.354796, 0.921753
-0.149459, 0.348621, 0.925271
-0.142550, 0.342270, 0.928725
-0.135769, 0.335749, 0.932115
-0.129121, 0.329060, 0.935440
-0.122608, 0.322206, 0.938696
-0.116233, 0.315192, 0.941883
-0.110001, 0.308019, 0.944999
-0.103914, 0.300693, 0.948043
-0.097974, 0.293216, 0.951013
-0.092186, 0.285593, 0.953907
-0.086552, 0.277827, 0.956724
-0.081074, 0.269922, 0.959463
-0.075756, 0.261882, 0.962122
-0.070600, 0.253711, 0.964700
-0.065608, 0.245413, 0.967196
-0.060784, 0.236993, 0.969608
-0.056129, 0.228454, 0.971935
-0.051646, 0.219800, 0.974177
-0.047338, 0.211037, 0.976331
-0.043206, 0.202169, 0.978397
-0.039252, 0.193199, 0.980374
-0.035478, 0.184133, 0.982261
-0.031887, 0.174975, 0.984056
-0.028480, 0.165729, 0.985760
-0.025259, 0.156400, 0.987371
-0.022224, 0.146993, 0.988888
-0.019379, 0.137513, 0.990310
-0.016724, 0.127964, 0.991638
-0.014261, 0.118351, 0.992869
-0.011991, 0.108679, 0.994005
-0.009914, 0.098952, 0.995043
-0.008033, 0.089176, 0.995984
-0.006348, 0.079355, 0.996826
-0.004859, 0.069495, 0.997570
-0.003568, 0.059600, 0.998216
-0.002475, 0.049675, 0.998762
-0.001581, 0.039725, 0.999209
-0.000886, 0.029756, 0.999557
-0.000391, 0.019771, 0.999804
-0.000096, 0.009777, 0.999952
-0.000000, -0.000222, 1.000000
-0.000104, -0.010221, 0.999948
-0.000409, -0.020215, 0.999796
-0.000913, -0.030199, 0.999543
-0.001617, -0.040168, 0.999192
-0.002520, -0.050117, 0.998740
-0.003621, -0.060040, 0.998189
-0.004921, -0.069934, 0.997539
-0.006418, -0.079793, 0.996791
-0.008112, -0.089612, 0.995944
-0.010003, -0.099386, 0.994999
-0.012088, -0.109110, 0.993956
-0.014367, -0.118780, 0.992817
-0.016838, -0.128390, 0.991581
-0.019502, -0.137936, 0.990249
-0.022355, -0.147413, 0.988822
-0.025398, -0.156817, 0.987301
-0.028627, -0.166142, 0.985686
-0.032043, -0.175384, 0.983979
-0.035642, -0.184538, 0.982179
-0.039424, -0.193600, 0.980288
-0.043386, -0.202565, 0.978307
-0.047526, -0.211429, 0.976237
-0.051842, -0.220188, 0.974079
-0.056333, -0.228836, 0.971834
-0.060995, -0.237370, 0.969503
-0.065827, -0.245785, 0.967087
-0.070825, -0.254077, 0.964587
-0.075989, -0.262242, 0.962006
-0.081314, -0.270276, 0.959343
-0.086799, -0.278175, 0.956601
-0.092440, -0.285935, 0.953780
-0.098235, -0.293552, 0.950882
-0.104181, -0.301022, 0.947909
-0.110275, -0.308341, 0.944862
-0.116514, -0.315507, 0.941743
-0.122894, -0.322515, 0.938553
-0.129413, -0.329361, 0.935293
-0.136068, -0.336043, 0.931966
-0.142854, -0.342556, 0.928573
-0.149769, -0.348899, 0.925116
-0.156809, -0.355067, 0.921596
-0.163970, -0.361057, 0.918015
-0.171250, -0.366867, 0.914375
-0.178644, -0.372494, 0.910678
-0.186148, -0.377934, 0.906926
-0.193760, -0.383186, 0.903120
-0.201475, -0.388246, 0.899263
-0.209288, -0.393111, 0.895356
-0.217198, -0.397780, 0.891401
-0.225198, -0.402251, 0.887401
-0.233286, -0.406520, 0.883357
-0.241458, -0.410586, 0.879271
-0.249708, -0.414446, 0.875146
-0.258034, -0.418099, 0.870983
-0.266431, -0.421544, 0.866784
-0.274895, -0.424777, 0.862553
-0.283421, -0.427799, 0.858290
-0.292005, -0.430606, 0.853997
-0.300644, -0.433198, 0.849678
-0.309332, -0.435573, 0.845334
-0.318065, -0.437731, 0.840968
-0.326839, -0.439670, 0.836580
-0.335650, -0.441389, 0.832175
-0.344493, -0.442887, 0.827753
-0.353364, -0.444164, 0.823318
-0.362258, -0.445218, 0.818871
-0.371172, -0.446051, 0.814414
-0.380099, -0.446660, 0.809950
-0.389036, -0.447046, 0.805482
-0.397979, -0.447208, 0.801010
-0.406923, -0.447147, 0.796538
-0.415864, -0.446862, 0.792068
-0.424796, -0.446353, 0.787602
-0.433716, -0.445622, 0.783142
-0.442620, -0.444668, 0.778690
-0.451502, -0.443491, 0.774249
-0.460358, -0.442093, 0.769821
-0.469184, -0.440474, 0.765408
-0.477975, -0.438634, 0.761012
-0.486728, -0.436575, 0.756636
-0.495437, -0.434298, 0.752282
-0.504098, -0.431804, 0.747951
-0.512708, -0.429094, 0.743646
-0.521261, -0.426169, 0.739370
-0.529753, -0.423031, 0.735124
-0.538180, -0.419682, 0.730910
-0.546539, -0.416123, 0.726731
-0.554824, -0.412355, 0.722588
-0.563032, -0.408382, 0.718484
-0.571158, -0.404204, 0.714421
-0.579198, -0.399825, 0.710401
-0.587149, -0.395245, 0.706425
-0.595007, -0.390468, 0.702497
-0.602767, -0.385496, 0.698617
-0.610425, -0.380331, 0.694787
-0.617979, -0.374975, 0.691011
-0.625423, -0.369433, 0.687288
-0.632755, -0.363705, 0.683623
-0.639970, -0.357796, 0.680015
-0.647066, -0.351708, 0.676467
-0.654037, -0.345444, 0.672981
-0.660882, -0.339007, 0.669559
-0.667597, -0.332401, 0.666202
-0.674177, -0.325628, 0.662911
-0.680621, -0.318693, 0.659690
-0.686924, -0.311598, 0.656538
-0.693083, -0.304348, 0.653458
-0.699097, -0.296945, 0.650452
-0.704960, -0.289394, 0.647520
-0.710671, -0.281699, 0.644664
-0.716227, -0.273862, 0.641886
-0.721625, -0.265889, 0.639188
-0.726862, -0.257782, 0.636569
-0.731935, -0.249547, 0.634032
-0.736843, -0.241187, 0.631579
-0.741582, -0.232706, 0.629209
-0.746150, -0.224109, 0.626925
-0.750546, -0.215400, 0.624727
-0.754766, -0.206583, 0.622617
-0.758808, -0.197663, 0.620596
-0.762672, -0.188644, 0.618664
-0.766353, -0.179531, 0.616823
-0.769852, -0.170328, 0.615074
-0.773166, -0.161040, 0.613417
-0.776293, -0.151671, 0.611853
-0.779232, -0.142227, 0.610384
-0.781982, -0.132711, 0.609009
-0.784540, -0.123129, 0.607730
-0.786907, -0.113486, 0.606547
-0.789079, -0.103786, 0.605460
-0.791058, -0.094034, 0.604471
-0.792840, -0.084234, 0.603580
-0.794427, -0.074393, 0.602787
-0.795816, -0.064515, 0.602092
-0.797007, -0.054604, 0.601496
-0.798000, -0.044666, 0.601000
-0.798794, -0.034706, 0.600603
-0.799388, -0.024728, 0.600306
-0.799783, -0.014738, 0.600109
-0.799978, -0.004741, 0.600011
-0.799972, 0.005259, 0.600014
-0.799767, 0.015256, 0.600116
-0.799362, 0.025246, 0.600319
-0.798757, 0.035223, 0.600621
-0.797953, 0.045182, 0.601023
-0.796950, 0.055119, 0.601525
-0.795749, 0.065028, 0.602126
-0.794349, 0.074905, 0.602825
-0.792753, 0.084744, 0.603624
-0.790960, 0.094541, 0.604520
-0.788972, 0.104290, 0.605514
-0.786789, 0.113988, 0.606606
-0.784412, 0.123628, 0.607794
-0.781844, 0.133207, 0.609078
-0.779085, 0.142719, 0.610458
-0.776136, 0.152159, 0.611932
-0.772999, 0.161524, 0.613501
